dog_id,tbp_anaplasma,tbp_mycoplasma,tbp_ecanis,tbp_bgibsoni,tbp_bvogeli,tbp_hcanis,tbp_infecnum,tbp_infstat,tbp_comb,sam_date,sam_country,sam_long,sam_lat,dog_clinic,sam_avrf,sam_popdensity,sam_popdensitygrp,sam_rainfall,sam_precipitation,sam_temp_min,sam_temp_max,sam_temp_av,sam_rh_night,sam_rh_day,sam_daysrain,sam_temp,dog_clinic_type,dog_province,dog_zone,dog_breedgrp,dog_breed,dog_age_mo,dog_agegrp,dog_sex,dog_neuterstat,hx_exint,hx_cough,hx_dyspnoea,hx_dyspnoea_fq,hx_skin,hx_weightloss,hx_tkfvr,hx_epistaxis,hx_seizure,dog_dewrmed,dw_last,dw_type,dw_drug,dw_fq,dog_tkrx,tk_last,tk_fq,tk_roa,tk_topical,tk_systemic,tk_drug,tk_proper,tk_fqproper,tk_properlast,tk_anyproper,dog_condition,dog_bcs,dog_temp,cs_pyrexia,cs_eyes,cs_eyes_data,cs_ears,cs_ears_data,cs_nares,cs_nares_data,cs_mucsmem,cs_ln,cs_neuro,cs_breath,cs_urt,cs_sphep,cs_vomitdia,cs_appetite,cs_ascites,sk_nodules,sk_growths,sk_erythema,sk_pruritis,sk_hyperpig,sk_thick,sk_alopecia,sk_subcut,sk_dx,sk_magwound,sk_tick,sk_flea,sk_lice,sk_ecto,sk_wound,dog_zone2
C012,0,0,0,1,0,0,1,1,G,6-Jun-20,sri_laanka,80.019985300,7.003123600,"Paws and Claws Animal Clinic, Kadawatha",178.8166657,"3,438",1,111.9,178.8166657,26.6,31.3,28.95,84.2,75.9,6,27.54,1,5,1,1,gs,19,3,1,0,0,0,0,0,1,0,1,0,0,1,5,1,1,2,1,5,3,2,na,oral,3,1,0,1,1,3,3,na,na,0,na,0,na,0,na,3,0,0,0,0,0,na,na,0,0,0,0,0,0,normal,0,0,0,0,1,0,0,1,0,2
C013,0,0,0,1,0,1,2,1,GH,17-Aug-20,sri_laanka,80.019985300,7.003123600,"Paws and Claws Animal Clinic, Kadawatha",110.5857145,"3,438",1,97.5,110.5857145,26.4,30.6,28.5,84.5,76,7,27.25,1,5,1,2,local,9,2,1,0,0,0,0,0,0,0,0,0,0,1,8.571428571,1,8,dn,0,na,na,na,na,na,na,0,0,0,0,3,3,na,na,0,na,0,na,0,na,3,0,0,0,0,0,na,na,0,0,0,0,0,0,normal,0,0,0,0,1,1,0,1,0,2
C015,0,0,0,1,0,0,1,1,G,6-Jun-20,sri_laanka,80.019985300,7.003123600,"Paws and Claws Animal Clinic, Kadawatha",178.8166657,"3,438",1,111.9,178.8166657,26.6,31.3,28.95,84.2,75.9,6,27.54,1,5,1,2,local,48,4,0,1,0,0,0,0,1,1,0,0,0,1,12.85714286,1,8,2,0,na,na,na,na,na,na,0,0,0,0,2,5,na,na,0,na,0,na,0,na,3,0,0,0,0,0,na,na,0,0,0,0,0,0,normal,1,0,1,0,0,0,0,0,0,2
C016,0,0,1,1,0,1,3,1,EGH,6-Jun-20,sri_laanka,80.019985300,7.003123600,"Paws and Claws Animal Clinic, Kadawatha",178.8166657,"3,438",1,111.9,178.8166657,26.6,31.3,28.95,84.2,75.9,6,27.54,1,5,1,2,local,30,4,1,0,0,0,0,0,1,0,1,0,0,1,28.71428571,1,1,5,1,30,5,1,"spray, powder",na,"4,5",0,0,0,0,3,3,na,na,0,na,1,aural haematoma in both ears pinnae,0,na,1,1,0,0,0,1,na,na,0,0,0,0,0,0,normal,0,0,0,0,1,1,0,1,0,2
C017,1,0,0,1,0,0,2,1,AG,14-Aug-20,sri_laanka,80.019985300,7.003123600,"Paws and Claws Animal Clinic, Kadawatha",110.5857145,"3,438",1,97.5,110.5857145,26.4,30.6,28.5,84.5,76,7,27.25,1,5,1,2,local,36,4,1,0,0,1,0,0,0,0,0,0,0,na,na,na,na,na,0,na,na,na,na,na,na,0,0,0,0,3,3,na,na,0,na,0,na,0,na,3,0,0,0,0,0,na,na,0,0,0,0,0,0,normal,0,0,0,0,1,1,1,1,0,2
C021,0,0,0,1,0,1,2,1,GH,7-Jun-20,sri_laanka,80.019985300,7.003123600,"Paws and Claws Animal Clinic, Kadawatha",178.8166657,"3,438",1,111.9,178.8166657,26.6,31.3,28.95,84.2,75.9,6,27.54,1,5,1,2,local,6,2,0,1,0,0,0,0,0,0,0,0,0,1,12.85714286,dn,1,2,0,na,na,na,na,na,na,0,0,0,0,2,2,na,na,0,na,0,na,0,na,1,0,0,0,0,1,na,na,0,0,0,0,0,0,normal,0,0,0,0,1,1,1,1,0,2
C023,0,0,0,1,0,0,1,1,G,7-Jun-20,sri_laanka,80.019985300,7.003123600,"Paws and Claws Animal Clinic, Kadawatha",178.8166657,"3,438",1,111.9,178.8166657,26.6,31.3,28.95,84.2,75.9,6,27.54,1,5,1,2,local,8,2,0,0,0,0,0,0,1,0,0,0,0,1,12.85714286,1,8,2,0,na,na,na,na,na,na,0,0,0,0,2,3,na,na,0,na,0,na,0,na,3,0,0,0,0,0,na,na,0,0,0,1,0,0,normal,0,0,1,0,1,1,0,1,0,2
C025,0,0,0,1,0,1,2,1,GH,6-Jun-20,sri_laanka,80.019985300,7.003123600,"Paws and Claws Animal Clinic, Kadawatha",178.8166657,"3,438",1,111.9,178.8166657,26.6,31.3,28.95,84.2,75.9,6,27.54,1,5,1,2,local,36,4,1,0,0,0,0,0,0,0,0,0,0,na,na,na,na,na,na,na,na,na,na,na,na,0,0,0,0,2,3,na,na,0,na,0,na,0,na,3,0,0,0,0,0,na,na,0,0,0,0,0,0,normal,0,0,0,0,1,1,0,1,0,2
C028,0,0,1,0,0,0,1,1,E,1-Aug-20,sri_laanka,79.889328000,6.803415200,"Life Veterinary Hospital, Rathmalana",110.5857145,"3,438",1,129.9,129.8999994,26.2,30.6,28.4,84.5,73.4,11,27.25,1,5,1,1,lab,24,3,0,0,0,0,0,0,0,0,0,0,0,1,12.85714286,1,1,3,1,42.85714286,4,2,na,oral,3,0,0,0,0,4,4,na,na,0,na,0,na,0,na,3,0,0,0,0,0,na,na,0,0,0,0,0,0,normal,0,0,0,0,0,0,0,0,0,2
C029,0,0,0,0,0,1,1,1,H,9-Aug-20,sri_laanka,79.889328000,6.803415200,"Life Veterinary Hospital, Rathmalana",110.5857145,"3,438",1,129.9,129.8999994,26.2,30.6,28.4,84.5,73.4,11,27.25,1,5,1,2,local,36,4,1,0,0,0,0,0,0,0,0,0,0,1,12.85714286,1,1,2,1,42.85714286,4,2,na,oral,3,0,0,0,0,3,3,na,na,0,na,0,na,0,na,3,0,0,0,0,0,na,na,0,0,0,0,0,0,normal,0,0,0,0,0,0,0,0,0,2
C030,0,0,1,1,0,1,3,1,EGH,11-Aug-20,sri_laanka,79.889328000,6.803415200,"Life Veterinary Hospital, Rathmalana",110.5857145,"3,438",1,129.9,129.8999994,26.2,30.6,28.4,84.5,73.4,11,27.25,1,5,1,2,local,24,3,1,0,0,0,0,0,0,0,0,0,0,1,12.85714286,1,1,dn,1,51.42857143,dn,2,na,oral,3,0,0,0,0,4,3,na,na,0,na,0,na,0,na,3,0,0,0,0,0,na,na,0,0,0,0,0,0,normal,0,0,0,0,0,0,0,0,0,2
C031,0,0,1,1,0,0,2,1,EG,2-Oct-20,sri_laanka,79.889328000,6.803415200,"Life Veterinary Hospital, Rathmalana",128.3571426,"3,438",1,100.1,100.0999994,26,31.7,28.85,85.6,73.7,14,26.86,1,5,1,2,local,120,5,1,0,0,0,0,0,0,0,0,0,0,1,25.71428571,dn,8,dn,1,25.71428571,dn,dn,na,na,dn,0,0,0,0,3,3,na,na,0,na,0,na,0,na,3,0,0,0,0,0,na,na,0,0,0,0,0,0,normal,0,0,1,0,0,1,0,1,0,2
C032,0,0,1,0,0,0,1,1,E,4-Oct-20,sri_laanka,79.889328000,6.803415200,"Life Veterinary Hospital, Rathmalana",128.3571426,"3,438",1,100.1,100.0999994,26,31.7,28.85,85.6,73.7,14,26.86,1,5,1,2,local,6,2,1,0,0,0,0,0,0,0,0,0,0,1,1,1,8,dn,1,1,dn,1,spoton,na,dn,0,0,1,1,3,2,na,na,0,na,0,na,0,na,3,0,0,0,0,0,na,na,0,0,0,0,0,0,normal,0,0,0,0,1,1,0,1,0,2
C033,0,0,0,0,1,1,2,1,VH,8-Nov-20,sri_laanka,79.889328000,6.803415200,"Life Veterinary Hospital, Rathmalana",276.9571444,"3,438",1,317,322.6000019,24.3,32.4,28.35,90.7,72.2,18,26.52,1,5,1,1,lab,12,2,0,0,0,0,0,0,1,0,0,0,0,1,2,dn,8,dn,0,na,na,na,na,na,na,0,0,0,0,3,4,na,na,0,na,0,na,0,na,3,0,0,0,0,0,na,na,0,0,0,0,0,0,normal,0,0,1,0,0,0,0,0,0,2
C034,0,0,0,0,0,1,1,1,H,8-Nov-20,sri_laanka,79.889328000,6.803415200,"Life Veterinary Hospital, Rathmalana",276.9571444,"3,438",1,317,322.6000019,24.3,32.4,28.35,90.7,72.2,18,26.52,1,5,1,1,gs,24,3,1,0,0,0,0,0,0,0,0,0,0,0,na,na,na,na,0,na,na,na,na,na,na,0,0,0,0,3,3,na,na,na,na,na,na,na,na,3,0,0,0,0,0,na,na,0,0,0,0,0,1,normal,0,0,0,0,0,0,0,0,0,2
C035,0,0,0,0,1,1,2,1,VH,11-Aug-20,sri_laanka,79.889328000,6.803415200,"Life Veterinary Hospital, Rathmalana",110.5857145,"3,438",1,129.9,129.8999994,26.2,30.6,28.4,84.5,73.4,11,27.25,1,5,1,1,gs,60,4,na,na,0,0,0,0,1,0,0,0,0,1,dn,dn,8,dn,1,dn,dn,2,na,oral,dn,0,0,0,0,3,3,na,na,0,na,0,na,0,na,3,0,0,0,0,0,na,na,0,0,0,0,0,0,normal,0,0,1,0,0,0,0,0,0,2
CP001,0,0,0,0,0,0,0,0,None,25-Jul-20,sri_laanka,79.990761300,6.878836200,City Pet - Athurugiriya,211.6714299,"3,438",1,195.2,211.6714299,26.1,30.6,28.35,86.5,77.8,13,27.36,1,5,1,1,rb,108,5,1,0,0,0,0,0,0,0,0,0,0,1,4.285714286,1,1,3,1,30,5,2,na,oral,3,0,0,0,0,3,5,na,na,0,na,0,na,0,na,3,0,0,0,0,0,0,na,0,0,0,0,0,0,normal,0,0,0,0,0,0,0,0,0,2
CP002,0,0,0,0,0,0,0,0,None,25-Jul-20,sri_laanka,79.990761300,6.878836200,City Pet - Athurugiriya,211.6714299,"3,438",1,195.2,211.6714299,26.1,30.6,28.35,86.5,77.8,13,27.36,1,5,1,2,local,60,4,1,0,0,0,0,0,1,0,0,0,0,1,8.571428571,1,8,2,1,1,dn,2,na,oral,3,0,0,1,1,3,3,39.2,1,0,na,0,na,0,na,3,0,0,0,0,0,na,1,0,0,0,1,0,0,normal,1,0,1,0,0,0,0,0,0,2
CP003,0,0,0,1,0,1,2,1,GH,25-Jul-20,sri_laanka,79.990761300,6.878836200,City Pet - Athurugiriya,211.6714299,"3,438",1,195.2,211.6714299,26.1,30.6,28.35,86.5,77.8,13,27.36,1,5,1,2,local,120,5,1,0,na,na,na,0,na,na,na,na,na,1,17.14285714,1,2,3,1,dn,dn,1,powder,na,5,0,0,0,0,2,3,na,na,0,na,0,na,0,na,1,1,0,0,0,0,na,na,0,0,0,0,0,0,normal,0,0,0,0,0,0,0,0,0,2
CP004,0,0,0,0,0,1,1,1,H,25-Jul-20,sri_laanka,79.990761300,6.878836200,City Pet - Athurugiriya,211.6714299,"3,438",1,195.2,211.6714299,26.1,30.6,28.35,86.5,77.8,13,27.36,1,5,1,2,local,84,5,0,1,na,na,na,0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,0,0,0,2,2,na,na,0,na,0,na,0,na,3,0,0,0,0,0,0,na,0,0,0,0,0,0,normal,1,0,1,0,1,1,0,1,0,2
CP005,0,0,0,0,0,0,0,0,None,25-Jul-20,sri_laanka,79.990761300,6.878836200,City Pet - Athurugiriya,211.6714299,"3,438",1,195.2,211.6714299,26.1,30.6,28.35,86.5,77.8,13,27.36,1,5,1,1,gs,84,5,0,0,0,0,0,0,0,0,0,0,0,1,dn,1,1,4,1,30,5,2,na,oral,3,0,0,0,0,3,4,na,na,0,na,0,na,0,na,na,1,0,0,0,0,na,na,0,0,0,0,0,0,normal,0,0,1,0,0,0,0,0,0,2
CP006,0,0,0,1,0,0,1,1,G,25-Jul-20,sri_laanka,79.990761300,6.878836200,City Pet - Athurugiriya,211.6714299,"3,438",1,195.2,211.6714299,26.1,30.6,28.35,86.5,77.8,13,27.36,1,5,1,1,rot,20,3,0,0,0,0,0,0,0,0,1,0,0,1,8.571428571,1,1,2,1,dn,5,1,powder,na,5,1,0,0,0,3,4,na,na,0,na,0,na,0,na,3,0,0,0,0,0,na,na,0,0,0,0,0,0,normal,0,0,1,0,0,0,0,0,0,2
CP007,0,0,0,1,0,0,1,1,G,25-Jul-20,sri_laanka,79.990761300,6.878836200,City Pet - Athurugiriya,211.6714299,"3,438",1,195.2,211.6714299,26.1,30.6,28.35,86.5,77.8,13,27.36,1,5,1,1,lab,12,2,0,0,0,0,0,0,0,0,1,0,0,1,dn,dn,8,dn,1,dn,dn,2,na,oral,3,0,0,0,0,4,4,na,na,0,na,0,na,0,na,3,0,0,0,0,0,na,na,0,0,0,0,0,0,normal,0,0,0,0,0,0,0,0,0,2
CP008,0,0,0,1,0,0,1,1,G,25-Jul-20,sri_laanka,79.990761300,6.878836200,City Pet - Athurugiriya,211.6714299,"3,438",1,195.2,211.6714299,26.1,30.6,28.35,86.5,77.8,13,27.36,1,5,1,2,local,78,5,0,0,na,na,na,0,na,na,0,0,0,1,2,1,8,dn,1,dn,5,1,powder,na,5,1,0,0,0,2,2,na,na,0,na,0,na,0,na,3,0,0,0,0,0,0,na,0,0,0,0,0,0,normal,0,0,0,0,1,0,0,1,0,2
CP009,0,0,0,0,0,1,1,1,H,25-Jul-20,sri_laanka,79.990761300,6.878836200,City Pet - Athurugiriya,211.6714299,"3,438",1,195.2,211.6714299,26.1,30.6,28.35,86.5,77.8,13,27.36,1,5,1,1,dal,132,5,1,0,na,na,na,0,na,na,1,1,0,1,21.42857143,1,1,4,0,na,na,na,na,na,na,0,0,0,0,3,3,na,na,1,mild cataract in both eyes,0,na,1,A tumor with nasal cavity involvement (left mainly) and the dorsal rostrum,3,0,0,0,0,0,na,na,0,0,1,0,0,0,normal,0,0,1,0,0,0,0,0,0,2
CP010,0,0,0,0,1,0,1,1,V,26-Jul-20,sri_laanka,79.990761300,6.878836200,City Pet - Athurugiriya,211.6714299,"3,438",1,195.2,211.6714299,26.1,30.6,28.35,86.5,77.8,13,27.36,1,5,1,1,rot,36,4,1,0,0,0,0,0,1,0,0,0,0,1,2,1,1,2,0,na,na,na,na,na,na,0,0,0,0,3,4,39.4,1,0,na,0,na,0,na,3,0,0,0,0,0,na,na,0,0,0,0,0,0,normal,0,0,0,0,0,0,0,0,0,2
CP011,0,0,0,1,0,1,2,1,GH,26-Jul-20,sri_laanka,79.990761300,6.878836200,City Pet - Athurugiriya,211.6714299,"3,438",1,195.2,211.6714299,26.1,30.6,28.35,86.5,77.8,13,27.36,1,5,1,1,gs,12,2,0,0,0,0,0,0,0,0,0,0,0,1,0.142857143,1,8,2,0,na,na,na,na,na,na,0,0,0,0,3,3,40,1,0,na,0,na,0,na,3,0,0,0,0,0,na,1,0,0,0,0,0,0,normal,0,0,0,0,0,0,0,0,0,2
CP012,0,0,0,0,0,1,1,1,H,22-Sep-20,sri_laanka,79.990761300,6.878836200,City Pet - Athurugiriya,566.4000001,"3,438",1,517.7,566.4000001,25.2,30,27.6,88.6,80.4,24,27.14,1,5,1,1,tibterrier,40,4,0,0,na,na,na,0,na,na,1,0,0,na,na,na,na,na,na,na,na,na,na,na,na,0,0,0,0,na,na,38.9,3,0,na,0,na,0,na,na,0,0,0,0,0,na,na,0,na,na,na,na,na,unknwn,na,0,na,0,1,0,0,1,0,2
CP013,0,0,0,1,0,0,1,1,G,22-Sep-20,sri_laanka,79.990761300,6.878836200,City Pet - Athurugiriya,566.4000001,"3,438",1,517.7,566.4000001,25.2,30,27.6,88.6,80.4,24,27.14,1,5,1,1,lab,16,3,1,0,0,0,0,0,1,0,1,0,0,1,8.571428571,1,1,3,na,na,na,na,na,na,na,0,0,0,0,3,3,38.5,3,0,na,0,na,0,na,3,0,0,0,0,0,1,0,0,0,0,0,0,0,normal,0,0,0,0,na,na,na,0,0,2
CP014,0,0,0,1,0,0,1,1,G,3-Oct-20,sri_laanka,79.990761300,6.878836200,City Pet - Athurugiriya,128.3571426,"3,438",1,125.6,128.3571426,26.1,30.7,28.4,85.6,77,11,26.86,1,5,1,1,rot,11,2,1,0,0,0,0,0,0,0,1,0,0,1,25.71428571,1,8,dn,na,na,na,na,na,na,na,0,0,0,0,3,3,40,1,0,na,0,na,0,na,na,0,0,0,0,0,0,na,0,0,0,0,0,0,normal,0,0,0,0,0,0,0,0,0,2
2CP014,0,0,0,1,0,0,1,1,G,,sri_laanka,79.990761300,6.878836200,City Pet - Athurugiriya,,"3,438",1,,211.6714299,26.1,30.6,28.35,85.6,77,13,,1,5,1,na,unknwn,unknwn,na,na,na,na,na,na,0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,0,0,0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,unknwn,na,0,na,0,na,na,na,0,0,2
CP015,0,0,0,1,0,0,1,1,G,26-Aug-20,sri_laanka,79.990761300,6.878836200,City Pet - Athurugiriya,110.5857145,"3,438",1,97.5,110.5857145,26.4,30.6,28.5,85.6,77,7,27.25,1,5,1,2,local,111,5,1,0,na,na,na,0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,0,0,0,na,na,38.3,3,0,na,0,na,0,na,3,na,0,0,0,0,na,na,0,na,na,na,na,na,unknwn,na,0,na,0,0,0,0,0,0,2
CP016,0,0,0,1,0,0,1,1,G,10-Aug-20,sri_laanka,79.990761300,6.878836200,City Pet - Athurugiriya,110.5857145,"3,438",1,97.5,110.5857145,26.4,30.6,28.5,85.6,77,7,27.25,1,5,1,3,exoticxexotic,101,5,1,0,na,na,na,0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,0,0,0,2,4,38.4,3,0,na,0,na,0,na,3,na,0,0,0,0,0,na,0,na,na,na,na,na,unknwn,na,0,na,0,0,0,0,0,0,2
CP017,0,0,0,0,0,1,1,1,H,10-Sep-20,sri_laanka,79.990761300,6.878836200,City Pet - Athurugiriya,566.4000001,"3,438",1,517.7,566.4000001,25.2,30,27.6,85.6,77,24,27.14,1,5,1,2,local,11,2,1,0,0,0,0,0,0,0,1,0,0,1,12.85714286,1,8,dn,na,na,na,na,na,na,na,0,0,0,0,2,3,38.3,3,0,na,0,na,0,na,1,na,0,0,0,0,na,1,0,na,na,na,na,na,unknwn,na,0,na,0,1,0,0,1,0,2
CP018,0,0,0,1,0,0,1,1,G,25-Aug-20,sri_laanka,79.990761300,6.878836200,City Pet - Athurugiriya,110.5857145,"3,438",1,97.5,110.5857145,26.4,30.6,28.5,85.6,77,7,27.25,1,5,1,1,lab,21,3,1,0,na,na,na,0,1,0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,0,0,0,3,3,38.6,3,0,na,0,na,0,na,3,0,0,0,0,0,1,na,0,0,0,1,0,0,normal,0,0,1,0,0,1,0,1,0,2
CP019,0,0,0,1,0,0,1,1,G,17-Aug-20,sri_laanka,79.990761300,6.878836200,City Pet - Athurugiriya,110.5857145,"3,438",1,97.5,110.5857145,26.4,30.6,28.5,85.6,77,7,27.25,1,5,1,1,husky,8,2,0,0,0,0,0,0,0,0,1,0,0,na,na,na,na,na,na,na,na,na,na,na,na,0,0,0,0,3,3,39.4,1,0,na,0,na,1,epistaxis observed once,1,na,0,1,0,0,na,1,0,0,0,0,0,0,normal,0,0,0,0,0,0,0,0,0,2
CP020,0,0,0,1,0,0,1,1,G,12-Sep-20,sri_laanka,79.990761300,6.878836200,City Pet - Athurugiriya,566.4000001,"3,438",1,517.7,566.4000001,25.2,30,27.6,85.6,77,24,27.14,1,5,1,3,exoticxexotic,8,2,1,0,0,0,0,0,0,0,1,0,0,1,4.285714286,1,8,dn,na,na,na,na,na,na,na,0,0,0,0,3,3,39,1,0,na,0,na,0,na,1,0,0,0,0,1,0,1,0,0,0,0,0,0,normal,0,0,0,0,0,0,0,0,0,2
CP021,0,0,0,1,0,0,1,1,G,25-Aug-20,sri_laanka,79.990761300,6.878836200,City Pet - Athurugiriya,110.5857145,"3,438",1,97.5,110.5857145,26.4,30.6,28.5,85.6,77,7,27.25,1,5,1,1,lab,13,3,1,0,0,0,0,0,1,0,0,0,0,na,na,na,na,na,na,na,na,na,na,na,na,0,0,0,0,2,3,na,na,0,na,0,na,0,na,3,0,0,0,0,0,1,1,0,na,na,na,na,na,unknwn,na,0,na,0,0,0,0,0,0,2
